Empresa,Avaliação da Empresa,Cargo,Localização,Data,Salario
ViewSoft,4.8,Software Engineer,"Manassas, VA",8d,$68K - $94K
Workiva,4.3,Software Support Engineer,Remote,2d,$61K - $104K
"Garmin International, Inc.",3.9,C# Software Engineer,"Cary, NC",2d,$95K - $118K
Snapchat,3.5,"Software Engineer, Fullstack, 1+ Years of Experience","Los Angeles, CA",2d,$97K - $145K
Vitesco Technologies Group AG,3.1,Software Engineer,"Seguin, TX",2d,$85K - $108K
Spotify,3.9,Backend Engineer II,"New York, NY",1d,$123K - $175K
Infor,4.0,Associate Software Engineer,"Alpharetta, GA",7d,$77K - $94K
Amerisoft Corporation,5.0,Software Developers,"Farmington Hills, MI",30d+,$71K - $100K
WHOOP,3.3,"Software Engineer II (Backend, Health)","Boston, MA",10d,$94K - $148K
PFF,4.2,Sr. Software Engineer,Remote,1d,$147K - $189K
Salesforce,4.1,MTS Software Engineer,"San Francisco, CA",5d,$90K - $113K
"HealthMine Services, Inc.",3.8,Software Engineer,Remote,1d,$54K - $79K
Honeywell,4.1,Software Engineer I,"Aguadilla, PR",2d,$91K - $135K
Legrand AV,3.7,Software Engineer,Minneapolis-Saint Paul,2d,$70K - $135K
Athenahealth,4.0,"Software Engineer, athenaCollector – RCM Rules","Boston, MA",2d,$192K - $288K
Amex,4.1,Java Engineer,"Plantation, FL",6d,$100K - $125K
SOFT LABS NA,5.0,Entry Level to Senior Level Software Developers,"Northborough, MA",30d+,$85K - $127K
Snapchat,3.5,"Software Engineer, C++","Los Angeles, CA",2d,$69K - $109K
Hertz,3.2,Software Engineer,"Seattle, WA",2d,$124K - $234K
"7-Eleven, Inc.",3.4,Software Engineer,"Irving, TX",1d,$85K - $150K
"Summit Technologies, Inc.",4.2,Software Engineer,"Springfield, MA",10d,$48K - $89K
Adobe,2.9,Software Development Engineer,"San Jose, CA",10d,$66K - $97K
The MITRE Corporation,4.0,Associate Software Engineer,"Bedford, MA",2d,$108K - $199K
Boston Children's Hospital,4.1,Software Engineer - HA (Hybrid),"Boston, MA",30d+,$102K - $173K
Amex,3.2,Engineer - React/JavaScript,"Sunrise, FL",5d,$124K - $142K
Ahold Delhaize USA,4.0,Software Engineer - Martech,"Carlisle, PA",2d,$94K - $133K
Artera Technologies,4.2,Software Engineers,"Annapolis Junction, MD",6d,$70K - $116K
Adobe,4.3,Software Engineer,"Lehi, UT",13d,$142K - $178K
Workiva,3.5,Senior Software Engineer,Remote,3d,$87K - $135K
Samsung Electronics,3.4,Software Engineer,"Mountain View, CA",2d,$77K - $182K
IPG Photonics,3.7,Software Engineer,"Oxford, MA",4d,$101K - $144K
Crafty,3.3,Software Engineer,"Chicago, IL",2d,$101K - $168K
"Crunchyroll, LLC",4.2,"Software Engineer III, Payments","San Francisco, CA",13d,$74K - $118K
LEGO,3.9,Backend Software Engineer,"Irvine, CA",9d,$100K - $200K
Principal Financial Group,4.1,Experienced Software Engineer,"Des Moines, IA",2d,$51K - $78K
INTEL,3.4,Security Software Engineer,"Phoenix, AZ",22d,$71K - $237K
Hasbro,4.4,"Software Engineer, Unreal Engine","Renton, WA",18d,$87K - $116K
Software Engineering Institute,4.2,Software Engineer,"Pittsburgh, PA",30d+,$116K - $184K
University of Dayton,4.4,Associate Software Engineer,"Dayton, OH",2d,$75K - $103K
MIT,3.7,Software Developer,"Cambridge, MA",17d,$155K - $221K
Amazon.com Services LLC,5.0,Software Dev Engineer - Computer Science,"Seattle, WA",2d,$112K - $165K
DaqScribe Solutions,3.9,Jr. Software Engineer,United States,10d,$73K - $109K
West Virginia University,4.5,Software Engineer - Libraries,"Morgantown, WV",4d,$120K - $150K
Noblis,2.0,Software Engineer (All Levels),"Chantilly, VA",1d,$77K - $87K
eimagine,3.5,Software Engineer,United States,30d+,$65K - $90K
CSL SOFTWARE SOLUTIONS,4.1,Software/Database Developer,"Burlington, VT",18d,$74K - $101K
Chewy,3.8,Software Engineer II,"Bellevue, WA",2d,$74K - $111K
ERPA,4.3,Software Test Engineer,"Dublin, OH",2d,$147K - $186K
Afterpay,4.1,"Software Engineer, Incentive","Seattle, WA",3d,$129K - $174K
Harvard University,5.0,Software Engineer,"Boston, MA",30d+,$89K - $125K
Brooks Automation,3.0,Software Development Engineer,"Fremont, CA",4d,$165K - $190K
DLRdmv,3.5,Software Engineer,"Dallas, TX",2d,$110K - $160K
Movius Interactive Corporation,3.3,Software Engineer- Frontend,"Fremont, CA",1d,$61K - $110K
State Street,3.7,Software Engineer,"Burlington, MA",3d,$94K - $154K
"Sonalysts, Inc.",3.8,Junior Software Engineer,"Waterford, CT",1d,$75K - $115K
"Preco, LLC",3.6,Software Engineer,"Somerset, WI",4d,$62K - $106K
HealthStream,3.6,Software Developer,"Nashville, TN",10d,$72K - $118K
Aptiv plc,4.0,Software Engineer,"Troy, MI",30d+,$75K - $118K
Zipongo,3.8,Software Engineer - Epic Integrations,Remote,30d+,$98K - $137K
Snowflake,3.7,Software Engineer - Snowpark,"Bellevue, WA",2d,$113K - $150K
Staffed4U,4.2,Software Engineer (Level 0 - Level II),"Annapolis Junction, MD",10d,$110K - $140K
Honeycomb.io,4.2,Midlevel Site Reliability Engineer,United States,10d,$141K - $179K
Topaz Labs,3.8,"Software Engineer, Infrastructure","Dallas, TX",8d,$77K - $136K
WEG Electric Corp,4.3,Software Engineer - Wind,"Barre, VT",6d,$80K
Brown and Caldwell,4.3,Software Engineer,"Atlanta, GA",3d,$79K - $126K
Vertafore,3.7,Software Engineer II,"Melville, NY",2d,$87K - $119K
"Aerodyne Industries, LLC",3.1,Simulation Software Engineer (ADV00095I),"Kennedy Sp Ct, FL",1d,$72K - $94K
KAIROS Inc,3.5,Software Engineer,"Dahlgren, VA",16d,$6K - $7K
Topaz Labs,3.7,Senior Software Engineer - Photo AI,"Dallas, TX",30d+,$68K - $106K
S3,3.8,Software Engineer- 826245,"Stennis Space Center, MS",20d,$56K - $88K
"J. Paul Getty Trust, The",4.1,Software Engineer Sr,"Los Angeles, CA",30d+,$72K - $113K
Topaz Labs,3.4,Software Engineer - ML Performance / HPC,"Dallas, TX",30d+,$90K - $119K
Rover.com,3.2,"Senior Software Engineer, Orders Team","Seattle, WA",25d,$101K - $135K
University of Oregon,3.8,Research Software Engineer,"Eugene, OR",2d,$155K - $180K
dōTERRA International,4.0,Software Engineer II,Utah,12d,$85K - $114K
AHU Technologies,4.6,Software Engineer,"Newark, DE",12d,$130K - $160K
ALSTOM,3.4,Software Engineer,"Pittsburgh, PA",2d,$160K - $250K
Jack Henry & Associates,2.9,Software Release Engineer,United States,8d,$100K
ISPA Technology,3.0,Junior Software Systems Engineer,"Washington, DC",23d,$120K - $150K
"Universal Health Services, Inc. - Corporate Office",3.4,Associate Software Engineer - Data Analytics,"King of Prussia, PA",30d+,$96K - $146K
Relias,3.8,Associate Software Engineer,"Morrisville, NC",4d,$107K - $144K
Tickrs Clearing,3.1,Software Engineer,"Irvine, CA",2d,$138K - $189K
CTC Group,4.8,Software Engineer,"Fort Meade, MD",30d+,$78K - $118K
GoTab Inc,3.5,Jr. Deployment Engineer,"Arlington, VA",10d,$113K - $139K
ILOGIC INC,3.5,SOFTWARE DEVELOPERS,Township of Hamilton,30d+,$80.00 Per Hour
CSX,3.8,Software Engineer II - Service Now,"Jacksonville, FL",23d,$70K - $109K
Synergy ECP,4.4,Junior Software Engineer,"Fort Meade, MD",2d,$73K - $117K
M&T Bank,5.0,Software Engineer III,"Wilmington, DE",30d+,$62K - $107K
Cardlytics,5.0,Software Engineer III,"Menlo Park, CA",18d,$124K - $169K
"Stefanini, Inc",3.8,AWS Cloud Engineer,"Richmond, VA",1d,$96K - $117K
Innovative Systems,3.8,C Software Engineer,"Pittsburgh, PA",9d,$84K - $140K
Parabola,3.8,"Software Engineer, Full Stack",United States,8d,$66K - $94K
Vibrint,3.5,Software Engineer I (Python Developer),United States,11d,$70K - $120K
Millennium Management,4.2,Front End Engineer,United States,4d,$78K - $126K
Sagitec,3.9,Software Engineer,"Saint Paul, MN",2d,$165K - $209K
Innovien Solutions,3.3,Sr. Software Engineer,"Atlanta, GA",6d,$116K - $150K
Ocean Power Technologies Inc,3.8,Software Engineer,United States,2d,$107K - $192K
Riverside Research Institute,4.8,Software Engineer,"Fairborn, OH",3d,$79K - $120K
Staffed4U,5.0,Java Software Engineer,"Annapolis Junction, MD",30d+,$94K - $153K
Uber Freight,5.0,Software Engineer II,"Chicago, IL",1d,$84K - $129K
Snowflake,4.1,Software Engineer - Database Engineering,"Bellevue, WA",4d,$82K - $129K
Likewize,4.0,Jr DevOps Engineer,"Dallas, TX",2d,$61K - $104K
MassMutual Ascend,4.0,Senior Software Engineer II,"Cincinnati, OH",19d,$182K - $244K
Washington DC government,4.7,React Developer,Remote,2d,$96K - $116K
AnaVation,3.7,Software Developer,"Quantico, VA",3d,$68K - $136K
3R Info,3.9,Software Engineer,"Canton, MI",30d+,$93K - $132K
Strategic Mission Elements,3.5,Software Developer (TypeScript/JavaScript),"Chantilly, VA",26d,$77K - $125K
"IPSecure, Inc.",3.9,Senior Software Engineer,"Patrick AFB, FL",4d,$52K - $200K
RELX,3.2,Software Engineer II,Georgia,2d,$81K - $118K
Solventum,3.6,Software Engineer - Front-end (Solventum),"Maplewood, MN",3d,$128K - $192K
Focus Technology Solutions Inc,3.0,Cloud Engineer,"Boston, MA",4d,$150K - $225K
Two Six Technologies,4.1,Software Engineer,"Warrenton, VA",17d,$50.00 Per Hour
"Adams, Inc.",3.2,Software Engineer,Tennessee,4d,$85K - $120K
CPS Insurance Services,3.4,Junior Software Developer,"Phoenix, AZ",1d,$192K - $245K
Cephas,3.1,Software Engineer,"Melbourne, FL",4d,$114K - $182K
Chubb,3.4,Software Engineer - Java Springboot (DT),"Whitehouse Station, NJ",3d,$102K - $134K
Uber Freight,3.6,Software Engineer III - Mobile (Multiple Openings),"San Francisco, CA",9d,$101K - $160K
Consumers Energy,4.8,Assoc Software Engineer,"Jackson, MI",6d,$90K - $124K
U.S. Bank National Association,3.4,Senior Software Engineer,"Hopkins, MN",1d,$88K - $128K
MedImpact Healthcare Systems,3.5,Software Engineer IV,"San Diego, CA",30d+,$83K - $131K
IMC Financial Markets,3.1,Graduate Software Engineer,"Chicago, IL",17d,$70K - $90K
Truveta,4.0,Software Engineer - Normalization,"Seattle, WA",3d,$164K - $182K
